client_code,product,push_notification
40,Кредитная карта,"Асхат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
41,Премиальная карта,"Сандугаш, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
42,Кредитная карта,"Рустем, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
43,Кредитная карта,"Нуртас, твои топ-категории — Продукты питания, Кафе и рестораны, Такси. 🔥 Кредитка даст до 10% кешбэка и на онлайн-сервисы!"
44,Кредитная карта,"Айнагуль, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
45,Кредитная карта,"Диана, залипаешь в Ремонт дома или Ювелирные украшения? Кредитка вернет часть денег + рассрочка есть! 😎"
46,Премиальная карта,"Арсен, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
47,Премиальная карта,"Камшат, баланс в плюсе и ценишь комфорт? Премиум-карта для тебя. 😉"
48,Кредит наличными,"Ержан, нужна дополнительная сумма? Оформите кредит наличными быстро и просто без залога и справок. Оформить кредит."
49,Кредитная карта,"Амина, твои топ-категории — Продукты питания, Кафе и рестораны, Такси. 🔥 Кредитка даст до 10% кешбэка и на онлайн-сервисы!"
50,Кредитная карта,"Тимурлан, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
51,Карта для путешествий,"Жанат, в этом месяце у вас много поездок/такси. С тревел-картой часть расходов вернулась бы кешбэком. Хотите оформить?"
52,Премиальная карта,"Милана, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
53,Карта для путешествий,"Расул, много поездок/такси в этом месяце? 🚗 С тревел-картой часть расходов вернулась бы кешбэком. Хочешь оформить?"
54,Премиальная карта,"Виктория, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
55,Кредитная карта,"Асель, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
56,Премиальная карта,"Нуркен, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
57,Премиальная карта,"Жания, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
58,Премиальная карта,"Султан, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
59,Премиальная карта,"Динара, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
60,Кредитная карта,"Ермек, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
